pos,excel_header,column_name,postgres_type,is_subtotal
185,SA.Bad Debt Exp,sa_bad_debt_exp,"numeric(18,2)",
186,SA.Travel Exp,sa_travel_exp,"numeric(18,2)",
187,SA.Telecom Exp,sa_telecom_exp,"numeric(18,2)",
188,SA.Event Exp,sa_event_exp,"numeric(18,2)",
189,SA.Survey Exp,sa_survey_exp,"numeric(18,2)",
190,SA.Social Exp,sa_social_exp,"numeric(18,2)",
191,SA.Convention Exp,sa_convention_exp,"numeric(18,2)",
192,SA.Copyright,sa_copyright,"numeric(18,2)",
193,SA.WEEE,sa_weee,"numeric(18,2)",
194,SA.Familynet,sa_familynet,"numeric(18,2)",
195,SA.Other Exp,sa_other_exp,"numeric(18,2)",
196,*R&D Expense,tot_r_and_d_expense,"numeric(18,2)",Y
197,*Internal Expense,tot_internal_expense,"numeric(18,2)",Y
198,RD.Ordinary Exp-Matl,rd_ordinary_exp_matl,"numeric(18,2)",
199,RD Labor,rd_labor,"numeric(18,2)",
200,RD.Depreciation,rd_depreciation,"numeric(18,2)",
201,RD.Consumable,rd_consumable,"numeric(18,2)",
202,RD.Others,rd_others,"numeric(18,2)",
203,RD.ER,rd_er,"numeric(18,2)",
204,RD.Mask,rd_mask,"numeric(18,2)",
205,*External Expense,tot_external_expense,"numeric(18,2)",Y
206,RD.Royalty,rd_royalty,"numeric(18,2)",
207,RD.Outsourcing SVC,rd_outsourcing_svc,"numeric(18,2)",
208,*G&A Expense,tot_g_and_a_expense,"numeric(18,2)",Y
209,*Labor Cost(SA),tot_labor_cost_sa,"numeric(18,2)",Y
210,GA.Labor Cost,ga_labor_cost,"numeric(18,2)",
211,GA.Labor-Salaries,ga_labor_salaries,"numeric(18,2)",
212,*Paid Commission(SA),tot_paid_commission_sa,"numeric(18,2)",Y
213,GA.Comm-Consult,ga_comm_consult,"numeric(18,2)",
214,GA.Comm-Litigation,ga_comm_litigation,"numeric(18,2)",
215,GA.Comm-Audit,ga_comm_audit,"numeric(18,2)",
216,GA.Comm-D/O,ga_comm_d_o,"numeric(18,2)",
217,GA.Comm,ga_comm,"numeric(18,2)",
218,*Expense(S),tot_expense_s,"numeric(18,2)",Y
219,GA.Depreciation,ga_depreciation,"numeric(18,2)",
220,GA.IT Exp,ga_it_exp,"numeric(18,2)",
221,GA.Rent Exp,ga_rent_exp,"numeric(18,2)",
222,GA.Telecom Exp,ga_telecom_exp,"numeric(18,2)",
223,GA.Repairs&Maint Exp,ga_repairs_and_maint_exp,"numeric(18,2)",
224,GA.Travel Exp,ga_travel_exp,"numeric(18,2)",
225,GA.Insurance Premium,ga_insurance_premium,"numeric(18,2)",
226,GA.Convention Exp,ga_convention_exp,"numeric(18,2)",
227,GA.Other,ga_other,"numeric(18,2)",
228,*Operating Profit,tot_operating_profit,"numeric(18,2)",Y
229,*Non-Op. Incom. & Ex,tot_non_op_income_and_expense,"numeric(18,2)",Y
230,*Non-Op. Income,tot_non_op_income,"numeric(18,2)",Y
231,OP.Commission 3rd,op_commission_3rd,"numeric(18,2)",
232,OP.Service Claim,op_service_claim,"numeric(18,2)",
233,OP.Rental Income,op_rental_income,"numeric(18,2)",
234,OP.Extra Gain,op_extra_gain,"numeric(18,2)",
235,OP.Others,op_others,"numeric(18,2)",
236,*Non-Op. Expense,tot_non_op_expense,"numeric(18,2)",Y
237,OE.Loss on A/R Sale,oe_loss_on_a_r_sale,"numeric(18,2)",
238,OE.Extra Loss,oe_extra_loss,"numeric(18,2)",
239,OE.Others,oe_others,"numeric(18,2)",
240,*Gain/Loss on Equity,tot_gain_loss_on_equity,"numeric(18,2)",Y
241,*Gain on Equity,tot_gain_on_equity,"numeric(18,2)",Y
242,EG.Gain on Equity,eg_gain_on_equity,"numeric(18,2)",
243,*Loss on Equity,tot_loss_on_equity,"numeric(18,2)",Y
244,EL.Loss on Equity,el_loss_on_equity,"numeric(18,2)",
245,*Financial  Incom. & Exp.,tot_financial_income_and_expense,"numeric(18,2)",Y
246,*Finance Profit,tot_finance_profit,"numeric(18,2)",Y
247,FP.Gain on FX,fp_gain_on_fx,"numeric(18,2)",
248,FP.Interest Income,fp_interest_income,"numeric(18,2)",
249,FP.Fin Profit-Oths,fp_fin_profit_oths,"numeric(18,2)",
250,*Finance Loss,tot_finance_loss,"numeric(18,2)",Y
251,FE.Fo.Ex.Loss,fe_fo_ex_loss,"numeric(18,2)",
252,FE.Interest Exp-Ext,fe_interest_exp_ext,"numeric(18,2)",
253,FE.Interest Exp-Int,fe_interest_exp_int,"numeric(18,2)",
254,FE.Financial Exp-Oth,fe_financial_exp_oth,"numeric(18,2)",
255,*Profit Before Tax,tot_profit_before_tax,"numeric(18,2)",Y
256,*Corporate Tax,tot_corporate_tax,"numeric(18,2)",Y
257,Corp. Tax,corp_tax,"numeric(18,2)",
258,*Net Income,tot_net_income,"numeric(18,2)",Y
